python autoencoder2d_pokemon.py
Epoch [0/1500], Loss: 0.191462, Time: 0.37s
Epoch [50/1500], Loss: 0.052881, Time: 12.87s
Epoch [100/1500], Loss: 0.028429, Time: 24.72s
Epoch [150/1500], Loss: 0.019504, Time: 36.65s
Epoch [200/1500], Loss: 0.017387, Time: 48.71s
Epoch [250/1500], Loss: 0.016393, Time: 60.66s
Epoch [300/1500], Loss: 0.015736, Time: 72.96s
Epoch [350/1500], Loss: 0.015106, Time: 85.07s
Epoch [400/1500], Loss: 0.014388, Time: 97.03s
Epoch [450/1500], Loss: 0.013713, Time: 109.03s
Epoch [500/1500], Loss: 0.013071, Time: 121.06s
Epoch [550/1500], Loss: 0.012626, Time: 133.75s
Epoch [600/1500], Loss: 0.011844, Time: 145.87s
Epoch [650/1500], Loss: 0.010914, Time: 157.92s
Epoch [700/1500], Loss: 0.010758, Time: 169.94s
Epoch [750/1500], Loss: 0.010411, Time: 181.92s
Epoch [800/1500], Loss: 0.010248, Time: 194.33s
Epoch [850/1500], Loss: 0.009796, Time: 206.42s
Epoch [900/1500], Loss: 0.009652, Time: 218.58s
Epoch [950/1500], Loss: 0.009554, Time: 230.88s
Epoch [1000/1500], Loss: 0.009358, Time: 243.42s
Epoch [1050/1500], Loss: 0.009252, Time: 255.77s
Epoch [1100/1500], Loss: 0.009113, Time: 267.86s
Epoch [1150/1500], Loss: 0.009034, Time: 280.02s
Epoch [1200/1500], Loss: 0.008915, Time: 292.20s
Epoch [1250/1500], Loss: 0.008766, Time: 308.59s
Epoch [1300/1500], Loss: 0.008639, Time: 322.28s
Epoch [1350/1500], Loss: 0.008635, Time: 334.69s
Epoch [1400/1500], Loss: 0.008468, Time: 347.77s
Epoch [1450/1500], Loss: 0.008419, Time: 360.53s
