Epoch,Loss
0,0.28385409712791443
1,0.280948668718338
2,0.2729651927947998
3,0.23040440678596497
4,0.19123782217502594
5,0.16004447638988495
6,0.12349642813205719
7,0.10538118332624435
8,0.07934173196554184
9,0.07287822663784027
10,0.05980123206973076
11,0.054886337369680405
12,0.04750392958521843
13,0.04359065368771553
14,0.04005277156829834
15,0.03786138817667961
16,0.035454776138067245
17,0.03401189669966698
18,0.030652644112706184
19,0.03099915385246277
20,0.026477312669157982
21,0.02615353651344776
22,0.026269499212503433
23,0.02378348633646965
24,0.02149287424981594
25,0.02375722862780094
26,0.023588957265019417
27,0.01945938915014267
28,0.022762930020689964
29,0.019530104473233223
30,0.019349118694663048
31,0.019373543560504913
32,0.017214475199580193
33,0.018617337569594383
34,0.016129987314343452
35,0.01767694391310215
36,0.01563250832259655
37,0.016188794746994972
38,0.015571537427604198
39,0.014708440750837326
40,0.0153483422473073
41,0.013899718411266804
42,0.014559391885995865
43,0.013827580958604813
44,0.01334977988153696
45,0.013775396160781384
46,0.012702617794275284
47,0.012862654402852058
48,0.01274937018752098
49,0.011980260722339153
50,0.01228136382997036
51,0.011994493193924427
52,0.011443618685007095
53,0.01163173746317625
54,0.011542513966560364
55,0.01101906131953001
56,0.010989338159561157
57,0.011093217879533768
58,0.010767028667032719
59,0.010501330718398094
60,0.010566678829491138
61,0.010592568665742874
62,0.010344083420932293
63,0.010094056837260723
64,0.010028057731688023
65,0.010061481036245823
66,0.01011121179908514
67,0.010065343230962753
68,0.009985101409256458
69,0.009815620258450508
70,0.009663723409175873
71,0.009519197046756744
72,0.00940206740051508
73,0.009313981980085373
74,0.009253072552382946
75,0.009243322536349297
76,0.0094190938398242
77,0.010173115879297256
78,0.012848618440330029
79,0.014979214407503605
80,0.013042747043073177
81,0.008905417285859585
82,0.011927831918001175
83,0.011026807129383087
84,0.009098262526094913
85,0.011536834761500359
86,0.009119773283600807
87,0.009997495450079441
88,0.010017290711402893
89,0.008781999349594116
90,0.010141327977180481
91,0.008663143031299114
92,0.009404291398823261
93,0.009086851961910725
94,0.008611172437667847
95,0.009259250946342945
96,0.008325799368321896
97,0.008907319977879524
98,0.008529203943908215
99,0.008352207951247692
